solution_id,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,ra_dec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_good_obs_ac,astrometric_n_bad_obs_al,astrometric_n_bad_obs_ac,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_primary_flag,astrometric_relegation_factor,astrometric_weight_al,astrometric_weight_ac,astrometric_priors_used,matched_observations,duplicated_source,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_variable_flag,l,b,ecl_lon,ecl_lat
1.64E+18,3.68E+12,1121702780,2015,45.01994746,10.60118766,0.163768762,4.857690561,0.9341,53,0,53,0,0,0,0,0,false,1,0.11283645,,2,9,false,0.22660549,0.6527689,0.2056388,0.8854723,-97.89432,20.447733,-42.991405,24.857141,53,307.8865054,3.226523003,19.30379343,NOT_AVAILABLE,176.8032904,-48.77456829,42.60568172,-16.18532871
1.64E+18,3.75E+12,517385742,2015,45.06163848,53.68390857,0.170974342,28.84535458,-0.96885,34,0,34,0,0,0,0,0,false,1,0.19182348,,2,6,false,0.9922881,0.96945566,0.9324258,0.8827866,-154.57793,25.49023,-34.391537,25.784157,34,364.9807664,3.249002751,19.11909512,NOT_AVAILABLE,176.8393833,-48.73958436,42.64938879,-16.19064048
1.64E+18,3.92E+12,474525504,2015,45.08367007,62.40910254,0.169361731,28.8519925,-0.99995,43,0,43,0,0,0,0.696204679,3.456150128,false,1.3441055,0.9215928,,2,6,false,0.6226548,0.97353876,0.5827813,0.89729494,-153.05362,24.626637,-32.725246,24.795849,43,2011.061032,5.745741325,17.26620694,NOT_AVAILABLE,176.8643469,-48.72485769,42.67083591,-16.19862723
1.64E+18,4.23E+12,50884015,2015,45.06347835,0.139301718,0.195651281,0.118482982,-0.1475,61,0,61,0,0,0,0.434973807,9.4207111,false,1.5950807,3.3469722,,2,7,false,0.4833354,0.40679094,0.52716523,0.9036843,-115.34668,19.30506,-43.532425,26.804235,61,9121.448834,15.33732581,15.6246105,NOT_AVAILABLE,176.8144205,-48.72111218,42.65873765,-16.1675814
1.64E+18,4.43E+12,435257253,2015,44.92298846,10.01502392,0.097146027,4.70462602,0.69515,44,0,44,0,0,0,0,0,false,1,0.03638926,,2,9,false,0.18605162,0.638912,0.15251434,0.8776216,-55.698723,17.569351,59.782257,23.1731,44,140.0492994,2.165716578,20.15906771,NOT_AVAILABLE,176.7736141,-48.89057682,42.48881384,-16.22061264
1.64E+18,4.54E+12,103876302,2015,44.93325678,12.12174314,0.094469616,5.509770309,-0.98645,44,0,43,0,1,0,1.601194899,0.568128027,false,1.1977876,0.04475151,,2,6,false,0.27625865,0.5847713,0.04441041,0.93671674,-49.019367,21.712137,-42.386345,26.474771,44,239.9231002,3.045572801,19.5745899,NOT_AVAILABLE,176.7873987,-48.88505885,42.4982201,-16.22618306
1.64E+18,4.71E+12,1046557863,2015,44.89480208,0.097467626,0.114037433,0.077901867,-0.3241,79,0,79,0,0,0,0.416272277,35.92915743,false,2.3634417,4.824915,,2,10,false,0.3921912,0.35683817,0.42820302,0.90393543,-95.15322,15.261154,-47.733723,26.416939,86,33450.41795,37.81677145,14.21376619,NOT_AVAILABLE,176.7253321,-48.89907331,42.46591314,-16.19619525
1.64E+18,4.71E+12,570689487,2015,44.89846049,1.108268627,0.117979173,0.602727365,-0.85335,63,0,63,0,0,0,0,0,false,1,0.2886749,,2,10,false,0.3062175,0.7061005,0.32411072,0.90133595,-123.86219,21.332855,-39.435375,24.806356,61,561.0445338,2.828559301,18.65227673,NOT_AVAILABLE,176.724899,-48.893703,42.47075941,-16.19350047
1.64E+18,4.74E+12,39750021,2015,44.8771961,10.43322814,0.117413689,5.068884682,0.55895,45,0,44,0,1,0,0,0,false,1,0.022306705,,2,6,false,0.20588148,0.59739995,0.18489568,0.8761212,-62.112926,16.997107,-57.412586,23.531925,45,90.01027473,2.271954607,20.63903985,NOT_AVAILABLE,176.7030015,-48.90936485,42.44941898,-16.18780082
1.64E+18,4.78E+12,438585829,2015,44.89817271,3.38183807,0.118944978,1.817662488,-0.80935,54,0,53,0,1,0,0.80061695,0.161796192,false,3.2402294,0.040178988,,2,9,false,0.2163039,0.6575261,0.22365767,0.8890764,-99.70996,19.390375,-45.791645,24.100822,53,155.5009593,2.640730537,20.04543738,NOT_AVAILABLE,176.7235395,-48.89323753,42.47076801,-16.19249273
